sample_id	subject_id	time_point	r1	r2
s9_14	s9	14	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_14.BcgI.fq.gz	
s9_15	s9	15	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_15.BcgI.fq.gz	
s9_16	s9	16	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_16.BcgI.fq.gz	
s9_2	s9	2	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_2.BcgI.fq.gz	
s9_3	s9	3	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_3.BcgI.fq.gz	
s9_4	s9	4	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_4.BcgI.fq.gz	
s9_5	s9	5	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_5.BcgI.fq.gz	
s9_6	s9	6	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_6.BcgI.fq.gz	
s9_7	s9	7	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_7.BcgI.fq.gz	
s9_8	s9	8	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_8.BcgI.fq.gz	
s9_9	s9	9	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s9_9.BcgI.fq.gz	
